age,calorie_target,diet,exclude_allergens,high_protein,high_fiber,low_carb,preferred_regions
38,1600,vegetarian,peanuts,true,true,false,"North America;Europe"
45,2200,omnivore,dairy,false,false,false,"North America"
29,1800,vegan,shellfish;gluten,false,false,false,"Europe"
52,2000,vegetarian,dairy;eggs,true,false,false,"Europe;Asia"
35,2500,omnivore,,true,false,true,"North America"
40,1900,vegan,gluten,false,true,false,"North America;Europe"
60,1700,omnivore,none,false,false,true,"Mediterranean"
33,2100,pescatarian,fish;shellfish,false,false,false,"Europe"
47,2300,vegetarian,nuts,true,true,false,"Asia"
25,1800,vegan,peanuts;nuts,false,true,false,"North America"
55,2000,omnivore,dairy;gluten,false,false,true,"North America;Europe"
42,1600,vegetarian,peanuts;gluten,true,false,false,"Europe;Africa"
37,2200,omnivore,none,true,false,false,"North America;Asia"
31,1900,vegan,dairy,false,true,false,"Europe"
50,2000,pescatarian,egg;gluten,false,false,true,"Mediterranean"
